Company;Rating;Company_source
American States Water Co.;28,8;American States Water Co.
Automatic Data Processing Inc.;13,8;Automatic Data Processing, Inc.
Avnet Inc.;8,2;Avnet, Inc.
California Water Service Co.;29,4;California Water Service Group
Cardinal Health Inc.;14,9;Cardinal Health, Inc.
Carpenter Technology Corp.;32,8;Carpenter Technology Corp.
Companhia de Saneamento Basico do Estado de Sao Paulo;31,9;Companhia de Saneamento Basico do Estado de Sao Paulo SABESP
Compass Group PLC;20,1;Compass Group Plc
Diageo PLC;19,3;Diageo Plc
Entergy Corp;26,8;Entergy Corp.
FMC Technologies Inc.;31,6;FMC Corp.
FedEx Corp.;20,0;FedEx Corp.
Flowserve Corp.;23,2;Flowserve Corp.
Fluor Corp.;32,9;Fluor Corp.
Fresh Del Monte Produce Inc.;34,6;Fresh Del Monte Produce, Inc.
General Mills Inc.;21,1;General Mills, Inc.
Jabil Inc.;11,1;Jabil, Inc.
Kennametal Inc.;22,0;Kennametal, Inc.
Kohl's Corp.;12,5;Kohl's Corp.
Koppers Holdings Inc.;26,8;Koppers Holdings, Inc.
Korea Electric Power Corp.;33,4;Korea Electric Power Corp.
Madison Gas & Electric Co.;25,4;MGE Energy, Inc.
Micron Technology Inc.;18,2;Micron Technology, Inc.
Microsoft Corp.;15,3;Microsoft Corp.
National Grid Gas PLC;22,2;National Grid Plc
National Grid USA;22,2;National Grid Plc
Newmont USA Ltd.;20,5;Newmont Corp.
Northwest Natural Gas Co.;23,5;Northwest Natural Holding Co.
PNM Resources Inc;37,2;PNM Resources, Inc.
Rent-A-Center Inc.;;
Shaw Communications Inc.;26,8;Shaw Communications, Inc.
Southern Copper Corp.;27,2;Southern Copper Corp.
Southern Power Company;38,5;Southern Power Co.
Teck Resources Ltd.;20,5;Teck Resources Limited
TransAlta Corp.;29,2;TransAlta Corp.
TransAlta Corporation;29,2;TransAlta Corp.
Tutor Perini Corporation;38,0;Tutor Perini Corp.
Universal Health Services Inc.;33,0;Universal Health Services, Inc.
Vector Ltd.;21,5;Vector Ltd.
ALLETE Inc.;34,2;ALLETE, Inc.
Abbott Laboratories;24,8;Abbott Laboratories
Air Products and Chemicals Inc.;12,3;Air Products & Chemicals, Inc.
Alaska Air Group Inc.;26,0;Alaska Air Group, Inc.
